,Asthma,Carcinogenic,Cardiovascular.toxicity,Cytotoxic,Deregulation.of.cellular.metabolism,Endocrine.deregulation.disruption,Environmental.hazard,Genotoxic,Hepatotoxic,Immunotoxic,Intestinal.toxicity,Lung.fibrosis,Nephrotoxic,Neurotoxic,Reproductive.toxicity,Skin.irritation,Skin.sensitizatioin,global,0,1
46,0.627,0.927,0.907,0.818,0.774,0.365,0.258,0.909,0.498,0.655,0.14900000000000002,0.745,0.348,0.795,0.828,0.07599999999999996,0.07499999999999996,0.9291142163512943,47_CNT,Carbon_nanotubes
47,0.85,0.934,0.758,0.833,0.745,0.363,0.11699999999999999,0.943,0.519,0.902,0.17900000000000005,0.762,0.372,0.816,0.646,0.08599999999999997,0.10199999999999998,0.9082794386345345,48_SNT,Carbon_nanotubes
48,0.956,0.929,0.957,0.976,0.948,0.15000000000000002,0.504,0.9,0.754,0.896,0.363,0.913,0.637,0.9,0.821,0.07599999999999996,0.06699999999999995,0.8355748396855336,49_SIG_SW,Carbon_nanotubes
3,0.14900000000000002,0.248,0.344,0.977,0.964,0.528,0.987,0.633,0.977,0.914,0.825,0.28600000000000003,0.905,0.837,0.762,0.731,0.387,0.9632778957083419,4_BioPure Ag-30,Silver
49,0.891,0.944,0.918,0.925,0.838,0.08599999999999997,0.26,0.915,0.516,0.896,0.15900000000000003,0.624,0.363,0.812,0.771,0.028000000000000025,0.025000000000000022,0.8127986544722671,50_SES_SW,Carbon_nanotubes
50,0.247,0.33999999999999997,0.23199999999999998,0.041000000000000036,0.377,0.04800000000000004,0.03300000000000003,0.33299999999999996,0.04800000000000004,0.46499999999999997,0.07099999999999995,0.138,0.041000000000000036,0.19099999999999995,0.34199999999999997,0.02300000000000002,0.028000000000000025,0.14777789723726587,51_CBNPs,Other_CNMs
51,0.15700000000000003,0.908,0.33199999999999996,0.373,0.253,0.124,0.08099999999999996,0.627,0.346,0.34099999999999997,0.33399999999999996,0.819,0.05900000000000005,0.20299999999999996,0.21199999999999997,0.030000000000000027,0.03700000000000003,0.5933959092702474,52_GNF,Other_CNMs
52,0.124,0.138,0.346,0.623,0.16700000000000004,0.05800000000000005,0.03600000000000003,0.14200000000000002,0.249,0.357,0.06499999999999995,0.11399999999999999,0.20199999999999996,0.505,0.10299999999999998,0.09499999999999997,0.08199999999999996,0.08391356967405665,53_fullerene,Other_CNMs
53,0.277,0.264,0.361,0.65,0.648,0.09199999999999997,0.17100000000000004,0.514,0.15900000000000003,0.644,0.241,0.19999999999999996,0.21999999999999997,0.499,0.14200000000000002,0.09099999999999997,0.08799999999999997,0.7669424183733828,54_OH-GQDs,Other_CNMs
54,0.269,0.244,0.133,0.736,0.832,0.08699999999999997,0.16200000000000003,0.509,0.34099999999999997,0.355,0.06999999999999995,0.41500000000000004,0.051000000000000045,0.19999999999999996,0.119,0.03600000000000003,0.03700000000000003,0.36611241705760406,55_GO,Other_CNMs
55,0.14700000000000002,0.352,0.20799999999999996,0.894,0.851,0.10699999999999998,0.17400000000000004,0.761,0.37,0.614,0.23399999999999999,0.23399999999999999,0.21199999999999997,0.509,0.14300000000000002,0.050000000000000044,0.05900000000000005,0.41603479514250885,56_GONH2,Other_CNMs
56,0.07899999999999996,0.14200000000000002,0.30900000000000005,0.667,0.924,0.21499999999999997,0.20899999999999996,0.519,0.504,0.525,0.21999999999999997,0.134,0.33699999999999997,0.705,0.31699999999999995,0.10399999999999998,0.09399999999999997,0.39885095131580717,57_ND_NH2,Other_CNMs
57,0.08299999999999996,0.039000000000000035,0.09999999999999998,0.37,0.792,0.07199999999999995,0.06599999999999995,0.21399999999999997,0.06599999999999995,0.259,0.05900000000000005,0.137,0.09099999999999997,0.32799999999999996,0.08799999999999997,0.05500000000000005,0.05800000000000005,0.07242979362143905,58_ND_COOH,Other_CNMs
58,0.09599999999999997,0.03600000000000003,0.09799999999999998,0.368,0.787,0.05400000000000005,0.050000000000000044,0.21899999999999997,0.06999999999999995,0.25,0.05400000000000005,0.13,0.10099999999999998,0.29900000000000004,0.10499999999999998,0.05600000000000005,0.05900000000000005,0.06887332533028917,59_ND_PEG,Other_CNMs
4,0.07899999999999996,0.242,0.33899999999999997,0.956,0.943,0.511,0.991,0.621,0.978,0.866,0.824,0.29000000000000004,0.917,0.834,0.751,0.738,0.368,0.9697369293228641,5_BioPure Ag-60,Silver
59,0.62,0.953,0.976,0.995,0.99,0.776,0.989,0.948,0.985,0.984,0.981,0.611,0.983,0.983,0.941,0.914,0.779,0.9817559300242243,60_QD_NH2,Cadmium_based_QDs
60,0.608,0.949,0.979,0.994,0.993,0.767,0.992,0.918,0.989,0.983,0.994,0.622,0.987,0.988,0.937,0.913,0.76,0.9826158442058124,61_QD_COOH,Cadmium_based_QDs
61,0.62,0.934,0.979,0.994,0.991,0.783,0.991,0.923,0.993,0.984,0.99,0.618,0.973,0.982,0.935,0.912,0.766,0.9841750970593206,62_QD_PEG,Cadmium_based_QDs
62,0.36,0.482,0.968,0.989,0.989,0.669,0.983,0.978,0.983,0.985,0.986,0.479,0.958,0.976,0.947,0.636,0.353,0.9787178248972506,63_CuO,Copper
63,0.387,0.497,0.972,0.995,0.995,0.32699999999999996,0.982,0.962,0.987,0.977,0.984,0.487,0.957,0.968,0.821,0.64,0.33699999999999997,0.9785722864640726,64_CuO_NH2,Copper
64,0.387,0.514,0.972,0.998,0.992,0.34199999999999997,0.978,0.964,0.979,0.982,0.989,0.502,0.952,0.981,0.824,0.636,0.357,0.9789614092420649,65_CuO_COOH,Copper
65,0.19699999999999995,0.478,0.977,0.98,0.97,0.33199999999999996,0.983,0.952,0.961,0.966,0.966,0.271,0.962,0.973,0.827,0.346,0.351,0.9730544460488033,66_CuO_PEG,Copper
66,0.041000000000000036,0.019000000000000017,0.22799999999999998,0.929,0.893,0.028000000000000025,0.10599999999999998,0.05700000000000005,0.722,0.481,0.15000000000000002,0.242,0.655,0.37,0.04500000000000004,0.025000000000000022,0.02300000000000002,0.4048703443314936,67_Fe3O4,Iron_oxide
67,0.09099999999999997,0.08199999999999996,0.22899999999999998,0.896,0.961,0.030000000000000027,0.10499999999999998,0.06399999999999995,0.478,0.473,0.348,0.48,0.647,0.241,0.129,0.025000000000000022,0.026000000000000023,0.43180770550046244,68_Fe3O4@TiO,Iron_oxide
68,0.039000000000000035,0.02300000000000002,0.22499999999999998,0.687,0.766,0.03400000000000003,0.039000000000000035,0.06499999999999995,0.477,0.479,0.05500000000000005,0.261,0.348,0.243,0.04300000000000004,0.02300000000000002,0.02400000000000002,0.4554420856421476,69_Fe3O4,Iron_oxide
